text,file
That's not the case with it. ,2023Jun10_220252/chunk215.flac
Is that your o2 level. ,2023Jun10_220252/chunk216.flac
So. ,2023Jun10_220252/chunk217.flac
You are. ,2023Jun10_220252/chunk218.flac
None,2023Jun10_220252/chunk219.flac
And physical part. ,2023Jun10_220252/chunk220.flac
None,2023Jun10_220252/chunk221.flac
Is the means by which the brakes and the gas are pulled. ,2023Jun10_220252/chunk222.flac
And the brakes in the gas being put on become reflected in each of these other items. ,2023Jun10_220252/chunk223.flac
Website that has two hiro at the think and grow and compare station is high in. ,2023Jun10_220252/chunk224.flac
None,2023Jun10_220252/chunk225.flac
Stretch. ,2023Jun10_220252/chunk226.flac
Monetary policy will be. ,2023Jun10_220252/chunk227.flac
And that the policy change the projected return. ,2023Jun10_220252/chunk228.flac
Are there of cash relative to bonds. ,2023Jun10_220252/chunk229.flac
And that wheels. ,2023Jun10_220252/chunk230.flac
And that. ,2023Jun10_220252/chunk231.flac
The economy is operating in these perpetual motion kind of way. ,2023Jun10_220252/chunk232.flac
Nf. ,2023Jun10_220252/chunk233.flac
You could almost picture. ,2023Jun10_220252/chunk234.flac
None,2023Jun10_220252/chunk235.flac
Where you are in the psycho. ,2023Jun10_220252/chunk236.flac
And what is happening and you can anticipate what is going to happen now. ,2023Jun10_220252/chunk237.flac
From that because it's that petrol perpetual motion. ,2023Jun10_220252/chunk238.flac
So that. ,2023Jun10_220252/chunk239.flac
My template. ,2023Jun10_220252/chunk240.flac
In a nutshell. ,2023Jun10_220252/chunk241.flac
And if you keep thinking like where are we now. ,2023Jun10_220252/chunk242.flac
Then you. ,2023Jun10_220252/chunk243.flac
You know you can kind of think where we are ok so i'm just going to show you some chat. ,2023Jun10_220252/chunk244.flac
To help convey the. ,2023Jun10_220252/chunk245.flac
This is. ,2023Jun10_220252/chunk246.flac
Real gdp going back to 99. ,2023Jun10_220252/chunk247.flac
So this is. ,2023Jun10_220252/chunk248.flac
That wine is productivity. ,2023Jun10_220252/chunk249.flac
None,2023Jun10_220252/chunk250.flac
That happens over a period of time even the biggest economic. ,2023Jun10_220252/chunk251.flac
Tabula. ,2023Jun10_220252/chunk252.flac
Looks like a bum. ,2023Jun10_220252/chunk253.flac
In app web cycle right productivity is a big force. ,2023Jun10_220252/chunk254.flac
But what happens is that. ,2023Jun10_220252/chunk255.flac
Psycho as you get in the term debt cycle that needs to be investment in there needs to be other things. ,2023Jun10_220252/chunk256.flac
Activity windows prosperity and so what you get more productivity at self-reinforcing site. ,2023Jun10_220252/chunk257.flac
So. ,2023Jun10_220252/chunk258.flac
Drive to just meant to show productivity and how it's changing over a period of time in the developed countries and then enjoy. ,2023Jun10_220252/chunk259.flac
So just to give you a quick picture here you can see it and degrees bend over as they are later into their longer term dates. ,2023Jun10_220252/chunk260.flac
This united states of west. ,2023Jun10_220252/chunk261.flac
Vs since 1980s one of those cases you can see it the clown. ,2023Jun10_220252/chunk262.flac
Japan which is large letter in that someone basically hardly any growth in productivity. ,2023Jun10_220252/chunk263.flac
Ok that's for productivity looks like and where are we in the short-term debt cycle at the business. ,2023Jun10_220252/chunk264.flac
This is what the cycle looks like. ,2023Jun10_220252/chunk265.flac
I was described. ,2023Jun10_220252/chunk266.flac
Another words. ,2023Jun10_220252/chunk267.flac
What happens from there. ,2023Jun10_220252/chunk268.flac
Capital markets prospect. ,2023Jun10_220252/chunk269.flac
As goal. ,2023Jun10_220252/chunk270.flac
None,2023Jun10_220252/chunk271.flac
Central banks begin to type. ,2023Jun10_220252/chunk272.flac
Liquid starts to type. ,2023Jun10_220252/chunk273.flac
Then risk premium start to rise. ,2023Jun10_220252/chunk274.flac
None,2023Jun10_220252/chunk275.flac
9 years into the psyche. ,2023Jun10_220252/chunk276.flac
Traitor comparatively low and there is west. ,2023Jun10_220252/chunk277.flac
So no surprise central banks tighten monetary. ,2023Jun10_220252/chunk278.flac
Monetary policy is by either raising interest rates or lowering the purchases. ,2023Jun10_220252/chunk279.flac
Of this that played by bikes pain in the bowel. ,2023Jun10_220252/chunk280.flac
So that's where we are and that's like. ,2023Jun10_220252/chunk281.flac
Now if you want kids behaving their part of the cycle this is breaking the cycle into three parts the euro lee phases of the cycle phase of cycle in late phase of the psyche. ,2023Jun10_220252/chunk282.flac
And this is our cross. ,2023Jun10_220252/chunk283.flac
The world. ,2023Jun10_220252/chunk284.flac
Different countries this is being added states this is you up to show how the store. ,2023Jun10_220252/chunk285.flac
So what time this period of time which is to bleed in the cycle is also associated with the period of time where there is less attractive returns. ,2023Jun10_220252/chunk286.flac
Greater vulnerability so that's. ,2023Jun10_220252/chunk287.flac
Largely where we are in the cycle. ,2023Jun10_220252/chunk288.flac
None,2023Jun10_220252/chunk289.flac
Interest rates. ,2023Jun10_220252/chunk290.flac
Hipper. ,2023Jun10_220252/chunk291.flac
Lol. ,2023Jun10_220252/chunk292.flac
In some cases can go lower. ,2023Jun10_220252/chunk293.flac
Quantitative easing. ,2023Jun10_220252/chunk294.flac
So taking this back to this goes back to 1900. ,2023Jun10_220252/chunk295.flac
This shows that. ,2023Jun10_220252/chunk296.flac
Debt to gdp ratio in the united states in it. ,2023Jun10_220252/chunk297.flac
Shows how the cycle that were going through now is very similar to the cycle that we went into the third. ,2023Jun10_220252/chunk298.flac
Another words because of that price. ,2023Jun10_220252/chunk299.flac
An interest rate savings 0. ,2023Jun10_220252/chunk300.flac
You have the printing of money this shows the central bank's balance. ,2023Jun10_220252/chunk301.flac
The monetary base the acceleration of printing and money. ,2023Jun10_220252/chunk302.flac
Same thing happened in the 2008 financial crisis. ,2023Jun10_220252/chunk303.flac
You can see that. ,2023Jun10_220252/chunk304.flac
What happens if you have. ,2023Jun10_220252/chunk305.flac
The debt crisis. ,2023Jun10_220252/chunk306.flac
You have the heading of zero interest rates. ,2023Jun10_220252/chunk307.flac
None,2023Jun10_220252/chunk308.flac
So they have the printer and then we have. ,2023Jun10_220252/chunk309.flac
The reaction very similar to 19:30 to 19:30. ,2023Jun10_220252/chunk310.flac
The economy pixar 1937 they monitor secret that worried that inflation is going to rise and they call. ,2023Jun10_220252/chunk311.flac
I'm resetting that first time they use the word research. ,2023Jun10_220252/chunk312.flac
Recession was like really depression they use the term recession and that was the 19th. ,2023Jun10_220252/chunk313.flac
30. ,2023Jun10_220252/chunk314.flac
None,2023Jun10_220252/chunk315.flac
Now i talked about dad. ,2023Jun10_220252/chunk316.flac
But also funded liability we don't call. ,2023Jun10_220252/chunk317.flac
Which would be pension healthcare liabilities i just wanted to give you a picture of what that's like dan has. ,2023Jun10_220252/chunk318.flac
There's a lot of out there. ,2023Jun10_220252/chunk319.flac
Messi's dad have to be kept. ,2023Jun10_220252/chunk320.flac
Silver wire builders have a very low. ,2023Jun10_220252/chunk321.flac
I want you to focus. ,2023Jun10_220252/chunk322.flac
On the bottom charts before i put the top charts in because i want to convey relates to both markets in the economy. ,2023Jun10_220252/chunk323.flac
The important. ,2023Jun10_220252/chunk324.flac
The really realising that we've been really a golden age. ,2023Jun10_220252/chunk325.flac
Of capitalism. ,2023Jun10_220252/chunk326.flac
In the following sense. ,2023Jun10_220252/chunk327.flac
None,2023Jun10_220252/chunk328.flac
This chart shows how profit margins of increase. ,2023Jun10_220252/chunk329.flac
In other words are they more than double. ,2023Jun10_220252/chunk330.flac
Since 2000. ,2023Jun10_220252/chunk331.flac
Stock market 40% lower. ,2023Jun10_220252/chunk332.flac
You have an expansion and profit more. ,2023Jun10_220252/chunk333.flac
And at the same time you had a decrease. ,2023Jun10_220252/chunk334.flac
In the form of employee compensation in profit margin. ,2023Jun10_220252/chunk335.flac
Bardsley because of a number of factors. ,2023Jun10_220252/chunk336.flac
Technology has been replacing people and so it's made it more efficient so that that was an element. ,2023Jun10_220252/chunk337.flac
Are also globalisation has help. ,2023Jun10_220252/chunk338.flac
Just show you a couple of charts pertaining to. ,2023Jun10_220252/chunk339.flac
This is. ,2023Jun10_220252/chunk340.flac
The globalisation pressure movement. ,2023Jun10_220252/chunk341.flac
And this is the. ,2023Jun10_220252/chunk342.flac
Capital movie. ,2023Jun10_220252/chunk343.flac
Diagrams show. ,2023Jun10_220252/chunk344.flac
None,2023Jun10_220252/chunk345.flac
If you got the station companies that have have improved their profit margins more. ,2023Jun10_220252/chunk346.flac
And there's that are more concentrated have improved their profit margins. ,2023Jun10_220252/chunk347.flac
Animals with reduced union membership. ,2023Jun10_220252/chunk348.flac
Help reduce their profit margins. ,2023Jun10_220252/chunk349.flac
And so as a result of that. ,2023Jun10_220252/chunk350.flac
This is contributing to the growth of. ,2023Jun10_220252/chunk351.flac
None,2023Jun10_220252/chunk352.flac
Bobcat. ,2023Jun10_220252/chunk353.flac
And the prop. ,2023Jun10_220252/chunk354.flac
It's been great for company. ,2023Jun10_220252/chunk355.flac
But it has not good for a certain percentage of the population of the condition. ,2023Jun10_220252/chunk356.flac
Vr bottom 60% of the population. ,2023Jun10_220252/chunk357.flac
Time 660 minutes from now. ,2023Jun10_220252/chunk358.flac
The conditions have. ,2023Jun10_220252/chunk359.flac
Having. ,2023Jun10_220252/chunk360.flac
Nothing since 1980 any income gross real income growth in the united states. ,2023Jun10_220252/chunk361.flac
I'm in bed survey. ,2023Jun10_220252/chunk362.flac
Be 40% of all americans to not race for $100 in the event of an emergency. ,2023Jun10_220252/chunk363.flac
So there is a gap and with that gap. ,2023Jun10_220252/chunk364.flac
Arm has come this is the wealth gap the. ,2023Jun10_220252/chunk365.flac
Top 1/10 of 1% of the population net. ,2023Jun10_220252/chunk366.flac
Is almost the same as the. ,2023Jun10_220252/chunk367.flac
Bottom 90% combined. ,2023Jun10_220252/chunk368.flac
And as a result we have parking. ,2023Jun10_220252/chunk369.flac
Populism of the left and populism of the right. ,2023Jun10_220252/chunk370.flac
That was the phenomenon that developed countries didn't used to have. ,2023Jun10_220252/chunk371.flac
Cancel now it is a. ,2023Jun10_220252/chunk372.flac
None,2023Jun10_220252/chunk373.flac
Dolphin armagh. ,2023Jun10_220252/chunk374.flac
Because we come to the political. ,2023Jun10_220252/chunk375.flac
In the number of countries in europe and in the united states. ,2023Jun10_220252/chunk376.flac
Arm. ,2023Jun10_220252/chunk377.flac
None,2023Jun10_220252/chunk378.flac
Socialism left in the rain. ,2023Jun10_220252/chunk379.flac
And it's going to become a. ,2023Jun10_220252/chunk380.flac
Rabbit streaming. ,2023Jun10_220252/chunk381.flac
None,2023Jun10_220252/chunk382.flac
Just as the. ,2023Jun10_220252/chunk383.flac
These profit margins improve. ,2023Jun10_220252/chunk384.flac
None,2023Jun10_220252/chunk385.flac
And then tax. ,2023Jun10_220252/chunk386.flac
Effective tax rate and how they work with catchphrase. ,2023Jun10_220252/chunk387.flac
That's been fantastic so you have you have. ,2023Jun10_220252/chunk388.flac
None,2023Jun10_220252/chunk389.flac
News24. ,2023Jun10_220252/chunk390.flac
That's also supported to start prices in seoul. ,2023Jun10_220252/chunk391.flac
Many of those things will continue i think you're at the best of the corporate tax rate. ,2023Jun10_220252/chunk392.flac
And in terms of the issue in terms of the welcome. ,2023Jun10_220252/chunk393.flac
Work during annual return. ,2023Jun10_220252/chunk394.flac
I'm including an environment which is conducive to the purchasing and financial assets by central banks and all of the. ,2023Jun10_220252/chunk395.flac
We're going from a head wind from. ,2023Jun10_220252/chunk396.flac
None,2023Jun10_220252/chunk397.flac
To give you a favour about this political situation is. ,2023Jun10_220252/chunk398.flac
And ready to chat. ,2023Jun10_220252/chunk399.flac
The first nickelback the. ,2023Jun10_220252/chunk400.flac
The first truck which is the red shard. ,2023Jun10_220252/chunk401.flac
How conservative the republicans are survey survey economically concern. ,2023Jun10_220252/chunk402.flac
So there more conservative than they've ever been. ,2023Jun10_220252/chunk403.flac
The democrats which hotel in terms of pi. ,2023Jun10_220252/chunk404.flac
Any more liberal than they have ever been. ,2023Jun10_220252/chunk405.flac
Show the tool have. ,2023Jun10_220252/chunk406.flac
Then we have today in politics. ,2023Jun10_220252/chunk407.flac
And this shows. ,2023Jun10_220252/chunk408.flac
How much is the boat castle one party wear. ,2023Jun10_220252/chunk409.flac
Other words republican sticking with republicans and democrats sticking with democrat. ,2023Jun10_220252/chunk410.flac
And so it shows the entrance. ,2023Jun10_220252/chunk411.flac
Conflict at work. ,2023Jun10_220252/chunk412.flac
This is in the united states. ,2023Jun10_220252/chunk413.flac
This is manchester united states. ,2023Jun10_220252/chunk414.flac
Who is the european phenomenon as much going to get into elections in europe. ,2023Jun10_220252/chunk415.flac
Emma. ,2023Jun10_220252/chunk416.flac
For the european elections and then we're also going to have changes impala. ,2023Jun10_220252/chunk417.flac
And it's going to be more. ,2023Jun10_220252/chunk418.flac
Too political extremes for example in the uk i think it's likely that jamaica. ,2023Jun10_220252/chunk419.flac
We'll be on in power which will have an effect on capital flows. ,2023Jun10_220252/chunk420.flac
So we're entering a period of time. ,2023Jun10_220252/chunk421.flac
None,2023Jun10_220252/chunk422.flac
None,2023Jun10_220252/chunk423.flac
Will probably be in the cycle. ,2023Jun10_220252/chunk424.flac
Central banks have. ,2023Jun10_220252/chunk425.flac
Power than they used to do to ease. ,2023Jun10_220252/chunk426.flac
None,2023Jun10_220252/chunk427.flac
Having this populism in elections. ,2023Jun10_220252/chunk428.flac
None,2023Jun10_220252/chunk429.flac
Terrible way of the way. ,2023Jun10_220252/chunk430.flac
If you look at your up. ,2023Jun10_220252/chunk431.flac
You can judge the capacity of a country to ease. ,2023Jun10_220252/chunk432.flac
By looking at the interest rates relative to zero. ,2023Jun10_220252/chunk433.flac
None,2023Jun10_220252/chunk434.flac
The amount of quantitative easing that can take place and it's marching offer. ,2023Jun10_220252/chunk435.flac
So what's in united states you go from 2 and a half percent 20 in your. ,2023Jun10_220252/chunk436.flac
None,2023Jun10_220252/chunk437.flac
0. ,2023Jun10_220252/chunk438.flac
And in europe. ,2023Jun10_220252/chunk439.flac
There are limitations. ,2023Jun10_220252/chunk440.flac
Caps at 33% of certain types of. ,2023Jun10_220252/chunk441.flac
That they have hit that they can't go beyond unless there. ,2023Jun10_220252/chunk442.flac
Some sort of my difficult and agreement showing in europe. ,2023Jun10_220252/chunk443.flac
Is there be a problem for the cd in terms of being able to have. ,2023Jun10_220252/chunk444.flac
The ability. ,2023Jun10_220252/chunk445.flac
In japan is in a position so much with the negative interest rates. ,2023Jun10_220252/chunk446.flac
Slightly negative interest rates father and wettability. ,2023Jun10_220252/chunk447.flac
The stimuli. ,2023Jun10_220252/chunk448.flac
So that's the way of the land. ,2023Jun10_220252/chunk449.flac
I think in terms of markets and economy within the template that i showed you to begin with. ,2023Jun10_220252/chunk450.flac
Ok. ,2023Jun10_220252/chunk451.flac
None,2023Jun10_220252/chunk452.flac
The rising power challenge existing power. ,2023Jun10_220252/chunk453.flac
Be an important influence in the world that we are operating. ,2023Jun10_220252/chunk454.flac
